WALLET_ADDRESS,EXIT_STATUS,HAS_EXITED,EXPECTED_ROI,RISK_ADJUSTED_ROI,ROI_STD_DEV,PROB_POSITIVE_ROI,PROB_NEGATIVE_ROI,EXPECTED_ROI_CATEGORY,TOTAL_TOKEN_COUNT,VALID_ROI_TOKEN_COUNT,PRE_2025_TOKEN_COUNT,PRE_2025_TOKEN_RATIO,HOLDING_TOKEN_COUNT,FULLY_SOLD_TOKEN_COUNT,PARTIALLY_SOLD_TOKEN_COUNT,RANK_BY_EXPECTED_ROI,DATA_QUALITY_WARNING,DATA_LIMITATION_NOTE
5Nyj2hfPLoNpZwQnGYrRRu2Fr6GgieX74QVwhdSadnjZ,ACTIVE,0,0.1222796891,0.480624054,0.2544185795,0.7647058824,0.2352941176,GAIN_10_TO_25,18,17,0,0,1,16,1,80,"null","null"
68zhA6wkEjNm3GhuL1CuQzxvhsu5RVPdn3GGEJ7ZvmJb,ACTIVE,0,0.1216110517,0.4987337606,0.243839622,0.5714285714,0.4285714286,GAIN_10_TO_25,7,7,0,0,0,7,0,81,"null","null"
J35apvibZs2Y9TdktqzkuSLHWL52ZeWxw7HggHNHEnxY,EXITED,1,0.1205711882,0.2483020494,0.4855827346,0.5,0.2,GAIN_10_TO_25,10,10,0,0,0,10,0,82,"null","null"
3E1LBjSGJZVreW8tNA2JUrzFkBiauzRMw63PWx8rErB7,EXITED,1,0.1164485309,1.259713061,0.0924405204,1,0,GAIN_10_TO_25,12,12,0,0,0,12,0,83,"null","null"
BsPYBeugaqu7etEYoHwzu6BABHcS5DfxgPJ3vGD6vCck,ACTIVE,0,0.1155025548,0.6326188621,0.1825784239,0.8039215686,0.1176470588,GAIN_10_TO_25,51,51,0,0,0,51,0,84,"null","null"
3qU3osg6RurVWFSAyZh8kxPGcjRPbj2hLY8p9CYk5HZj,ACTIVE,0,0.1153981661,0.2617945168,0.440796727,0.6197183099,0.3521126761,GAIN_10_TO_25,73,71,0,0,5,65,3,85,"null","null"
DnT4q992mEy9KRRmCvvGXNpcjiBkjwbJeHbmEshiXFiE,ACTIVE,0,0.1137190523,0.3048235153,0.3730652215,0.5813148789,0.4186851211,GAIN_10_TO_25,307,289,0,0,18,275,14,86,"null","null"
3UEfkxknrtsxog6Y9D6uyjhviCVQwVZESLoCEbRncrGE,ACTIVE,0,0.1105601432,0.2907210948,0.3802962538,0.5,0.4615384615,GAIN_10_TO_25,53,26,0,0,30,22,1,87,참고: 30% 이상의 토큰에 대해 ROI를 계산할 수 없음,"null"
y1dF546738bpMvWUTvrARi2DxhdrfYW5hzPW8LfAEJ5,ACTIVE,0,0.1092376231,0.2952984076,0.3699228317,0.5555555556,0.4259259259,GAIN_10_TO_25,166,162,0,0,4,151,11,88,"null","null"
4rX8jFJ9NotN8YhMiDiLpyGqEBq4stduNUYdrZrQ4q5j,ACTIVE,0,0.1078458332,0.3291125674,0.327686767,0.512195122,0.4146341463,GAIN_10_TO_25,43,41,0,0,2,40,1,89,"null","null"
JA8ZRVrW5vLAyACqtrCKuZUHdxFzbzRytDwkz9xd5AMF,EXITED,1,0.1075379659,0.2344699487,0.4586428517,0.4117647059,0.5882352941,GAIN_10_TO_25,17,17,0,0,0,17,0,90,"null","null"
6cpVBC9XEpCS9BptLCznxSmuQu9df1bt8NqaBDWZTr9S,ACTIVE,0,0.107367471,0.4119371246,0.2606404343,0.7169811321,0.2641509434,GAIN_10_TO_25,108,106,2,0.01851851852,1,106,1,91,"null",참고: 일부 토큰은 2025년 1월 이전에 구매되었을 수 있으며, 이는 기대 ROI 계산에서 제외됨
7iuj7wn2y6RQ8PaGQ5Qe5TevUMhJLKqniTQgyWVPW7hG,ACTIVE,0,0.1037684057,0.9687672091,0.1071138709,0.75,0.08333333333,GAIN_10_TO_25,24,24,0,0,10,10,4,92,"null","null"
GfADfPvmmqaU4NpvdA8dMkuTv8oorZChaurTfPeG2HGX,ACTIVE,0,0.1012032579,0.228503428,0.442896016,0.5,0.489010989,GAIN_10_TO_25,195,182,0,0,16,179,0,93,"null","null"
